val,time,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13
5.986163250483228,0.9199362950002978,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,9.889336994007614,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.986163250483228,0.9105898100006016,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,9.889336994007614,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.986163250483228,0.9071426080008678,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,9.889336994007614,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.986163250483228,0.9560455449991423,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,9.889336994007614,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.986163250483228,1.1038571250010136,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,9.889336994007614,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.986163250483228,0.9072133650006435,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,9.889336994007614,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.986163250483228,0.9520574839989422,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,9.889336994007614,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.986163250483228,1.3182634309996502,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,9.889336994007614,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.986163250483228,0.8946350930000335,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,9.889336994007614,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
5.986163250483228,0.9371632689999387,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,9.889336994007614,0.0,0.01,1.0,1.0293269329961898,-5.9811504451162545
